exp,model_type,target_type,condition,model,context_sents,target_sent,region,surp
def,ordered,reduced,Old_DefAmbi,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,a party was organized this evening .,even though the band left the party went on for at least another two hours .,went on,19.399436950683594
def,ordered,reduced,Old_DefAmbi,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,a party was organized this evening .,even though the band left the party went on for at least another two hours .,went on,18.791542768478394
def,ordered,reduced,Old_DefAmbi,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,a party was organized this evening .,even though the band left the party went on for at least another two hours .,went on,19.573634147644043
def,ordered,reduced,Old_DefAmbi,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,a party was organized this evening .,even though the band left the party went on for at least another two hours .,went on,20.56162452697754
def,shuffled,reduced,New_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,it was a fun evening .,even though the band left the party went on for at least another two hours .,went on,19.083862781524658
def,shuffled,reduced,New_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,it was a fun evening .,even though the band left the party went on for at least another two hours .,went on,18.715412378311157
def,shuffled,reduced,New_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,it was a fun evening .,even though the band left the party went on for at least another two hours .,went on,18.097548007965088
def,shuffled,reduced,New_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,it was a fun evening .,even though the band left the party went on for at least another two hours .,went on,18.626105070114136
def,shuffled,reduced,New_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,it was a fun evening .,even though the band left the party went on for at least another two hours .,went on,18.699885845184326
def,ordered,reduced,New_DefAmbi,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,it was a fun evening .,even though the band left the party went on for at least another two hours .,went on,17.76198101043701
def,ordered,reduced,New_DefAmbi,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,it was a fun evening .,even though the band left the party went on for at least another two hours .,went on,19.158029794692993
def,ordered,reduced,New_DefAmbi,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,it was a fun evening .,even though the band left the party went on for at least another two hours .,went on,18.318328142166138
def,ordered,reduced,New_DefAmbi,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,it was a fun evening .,even though the band left the party went on for at least another two hours .,went on,18.91086459159851
def,ordered,reduced,New_DefAmbi,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,it was a fun evening .,even though the band left the party went on for at least another two hours .,went on,19.929190635681152
def,shuffled,unreduced,New_IndefUnambi,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,it was a fun evening .,"even though the band left , a party went on for at least another two hours .",went on,10.504485487937927
def,shuffled,unreduced,New_IndefUnambi,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,it was a fun evening .,"even though the band left , a party went on for at least another two hours .",went on,10.568721055984497
def,shuffled,unreduced,New_IndefUnambi,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,it was a fun evening .,"even though the band left , a party went on for at least another two hours .",went on,10.122278809547424
def,shuffled,unreduced,New_IndefUnambi,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,it was a fun evening .,"even though the band left , a party went on for at least another two hours .",went on,11.118152141571045
def,shuffled,unreduced,New_IndefUnambi,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,it was a fun evening .,"even though the band left , a party went on for at least another two hours .",went on,10.765545129776001
def,ordered,unreduced,New_IndefUnambi,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,it was a fun evening .,"even though the band left , a party went on for at least another two hours .",went on,11.94055986404419
def,ordered,unreduced,New_IndefUnambi,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,it was a fun evening .,"even though the band left , a party went on for at least another two hours .",went on,11.54984712600708
def,ordered,unreduced,New_IndefUnambi,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,it was a fun evening .,"even though the band left , a party went on for at least another two hours .",went on,10.892023086547852
def,ordered,unreduced,New_IndefUnambi,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,it was a fun evening .,"even though the band left , a party went on for at least another two hours .",went on,12.036181926727295
def,ordered,unreduced,New_IndefUnambi,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,it was a fun evening .,"even though the band left , a party went on for at least another two hours .",went on,12.504244089126587
def,shuffled,unreduced,Old_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,a party was organized this evening .,"even though the band left , the party went on for at least another two hours .",went on,8.932743549346924
def,shuffled,unreduced,Old_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,a party was organized this evening .,"even though the band left , the party went on for at least another two hours .",went on,8.097859859466553
def,shuffled,unreduced,Old_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,a party was organized this evening .,"even though the band left , the party went on for at least another two hours .",went on,8.148026823997498
def,shuffled,unreduced,Old_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,a party was organized this evening .,"even though the band left , the party went on for at least another two hours .",went on,8.980156898498535
def,shuffled,unreduced,Old_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,a party was organized this evening .,"even though the band left , the party went on for at least another two hours .",went on,8.762426137924194
def,ordered,unreduced,Old_DefUnambi,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,a party was organized this evening .,"even though the band left , the party went on for at least another two hours .",went on,9.549652338027954
def,ordered,unreduced,Old_DefUnambi,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,a party was organized this evening .,"even though the band left , the party went on for at least another two hours .",went on,8.990620851516724
def,ordered,unreduced,Old_DefUnambi,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,a party was organized this evening .,"even though the band left , the party went on for at least another two hours .",went on,9.173907995223999
def,ordered,unreduced,Old_DefUnambi,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,a party was organized this evening .,"even though the band left , the party went on for at least another two hours .",went on,9.456337690353394
def,ordered,unreduced,Old_DefUnambi,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,a party was organized this evening .,"even though the band left , the party went on for at least another two hours .",went on,10.205833435058594
def,shuffled,unreduced,New_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,it was a fun evening .,"even though the band left , the party went on for at least another two hours .",went on,8.94020390510559
def,shuffled,unreduced,New_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,it was a fun evening .,"even though the band left , the party went on for at least another two hours .",went on,8.09877860546112
def,shuffled,unreduced,New_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,it was a fun evening .,"even though the band left , the party went on for at least another two hours .",went on,8.14207935333252
def,shuffled,unreduced,New_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,it was a fun evening .,"even though the band left , the party went on for at least another two hours .",went on,8.978266477584839
def,shuffled,unreduced,New_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,it was a fun evening .,"even though the band left , the party went on for at least another two hours .",went on,8.76230239868164
def,ordered,unreduced,New_DefUnambi,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,it was a fun evening .,"even though the band left , the party went on for at least another two hours .",went on,9.469114065170288
def,ordered,unreduced,New_DefUnambi,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,it was a fun evening .,"even though the band left , the party went on for at least another two hours .",went on,8.9118332862854
def,ordered,unreduced,New_DefUnambi,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,it was a fun evening .,"even though the band left , the party went on for at least another two hours .",went on,8.822502613067627
def,ordered,unreduced,New_DefUnambi,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,it was a fun evening .,"even though the band left , the party went on for at least another two hours .",went on,9.217873811721802
def,ordered,unreduced,New_DefUnambi,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,it was a fun evening .,"even though the band left , the party went on for at least another two hours .",went on,9.946736574172974
def,shuffled,reduced,New_IndefAmbi,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,it was a busy week .,in case the executive forgot an assistant would remind him of his daily meetings and appointments .,would remind,24.074332237243652
def,shuffled,reduced,New_IndefAmbi,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,it was a busy week .,in case the executive forgot an assistant would remind him of his daily meetings and appointments .,would remind,20.37957239151001
def,shuffled,reduced,New_IndefAmbi,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,it was a busy week .,in case the executive forgot an assistant would remind him of his daily meetings and appointments .,would remind,23.997312545776367
def,shuffled,reduced,New_IndefAmbi,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,it was a busy week .,in case the executive forgot an assistant would remind him of his daily meetings and appointments .,would remind,21.664333820343018
def,shuffled,reduced,New_IndefAmbi,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,it was a busy week .,in case the executive forgot an assistant would remind him of his daily meetings and appointments .,would remind,21.53256893157959
def,ordered,reduced,New_IndefAmbi,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,it was a busy week .,in case the executive forgot an assistant would remind him of his daily meetings and appointments .,would remind,22.07754135131836
def,ordered,reduced,New_IndefAmbi,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,it was a busy week .,in case the executive forgot an assistant would remind him of his daily meetings and appointments .,would remind,23.524566650390625
def,ordered,reduced,New_IndefAmbi,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,it was a busy week .,in case the executive forgot an assistant would remind him of his daily meetings and appointments .,would remind,23.240160942077637
def,ordered,reduced,New_IndefAmbi,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,it was a busy week .,in case the executive forgot an assistant would remind him of his daily meetings and appointments .,would remind,22.66015625
def,ordered,reduced,New_IndefAmbi,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,it was a busy week .,in case the executive forgot an assistant would remind him of his daily meetings and appointments .,would remind,19.58668804168701
def,shuffled,reduced,Old_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,an assistant was hired .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,23.65852451324463
def,shuffled,reduced,Old_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,an assistant was hired .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,19.789376258850098
def,shuffled,reduced,Old_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,an assistant was hired .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,22.71690082550049
def,shuffled,reduced,Old_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,an assistant was hired .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,20.820724487304688
def,shuffled,reduced,Old_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,an assistant was hired .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,21.089845657348633
def,ordered,reduced,Old_DefAmbi,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,an assistant was hired .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,22.231523513793945
def,ordered,reduced,Old_DefAmbi,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,an assistant was hired .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,22.388550758361816
def,ordered,reduced,Old_DefAmbi,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,an assistant was hired .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,22.614948272705078
def,ordered,reduced,Old_DefAmbi,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,an assistant was hired .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,22.504164695739746
def,ordered,reduced,Old_DefAmbi,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,an assistant was hired .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,19.09945249557495
def,shuffled,reduced,New_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,it was a busy week .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,23.65861225128174
def,shuffled,reduced,New_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,it was a busy week .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,19.77069902420044
def,shuffled,reduced,New_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,it was a busy week .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,22.72978973388672
def,shuffled,reduced,New_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,it was a busy week .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,20.831899166107178
def,shuffled,reduced,New_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,it was a busy week .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,21.110886573791504
def,ordered,reduced,New_DefAmbi,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,it was a busy week .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,21.8220157623291
def,ordered,reduced,New_DefAmbi,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,it was a busy week .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,22.395217895507812
def,ordered,reduced,New_DefAmbi,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,it was a busy week .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,22.714696884155273
def,ordered,reduced,New_DefAmbi,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,it was a busy week .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,22.012752532958984
def,ordered,reduced,New_DefAmbi,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,it was a busy week .,in case the executive forgot the assistant would remind him of his daily meetings and appointments .,would remind,18.692473888397217
def,shuffled,unreduced,New_IndefUnambi,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,it was a busy week .,"in case the executive forgot , an assistant would remind him of his daily meetings and appointments .",would remind,18.876748085021973
def,shuffled,unreduced,New_IndefUnambi,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,it was a busy week .,"in case the executive forgot , an assistant would remind him of his daily meetings and appointments .",would remind,18.14508628845215
def,shuffled,unreduced,New_IndefUnambi,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,it was a busy week .,"in case the executive forgot , an assistant would remind him of his daily meetings and appointments .",would remind,19.66933584213257
def,shuffled,unreduced,New_IndefUnambi,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,it was a busy week .,"in case the executive forgot , an assistant would remind him of his daily meetings and appointments .",would remind,19.91059637069702
def,shuffled,unreduced,New_IndefUnambi,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,it was a busy week .,"in case the executive forgot , an assistant would remind him of his daily meetings and appointments .",would remind,20.17351484298706
def,ordered,unreduced,New_IndefUnambi,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,it was a busy week .,"in case the executive forgot , an assistant would remind him of his daily meetings and appointments .",would remind,20.093536376953125
def,ordered,unreduced,New_IndefUnambi,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,it was a busy week .,"in case the executive forgot , an assistant would remind him of his daily meetings and appointments .",would remind,21.379026412963867
def,ordered,unreduced,New_IndefUnambi,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,it was a busy week .,"in case the executive forgot , an assistant would remind him of his daily meetings and appointments .",would remind,20.94187307357788
def,ordered,unreduced,New_IndefUnambi,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,it was a busy week .,"in case the executive forgot , an assistant would remind him of his daily meetings and appointments .",would remind,19.627970218658447
def,ordered,unreduced,New_IndefUnambi,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,it was a busy week .,"in case the executive forgot , an assistant would remind him of his daily meetings and appointments .",would remind,19.798439025878906
def,shuffled,unreduced,Old_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,an assistant was hired .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,20.91247844696045
def,shuffled,unreduced,Old_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,an assistant was hired .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,18.256661415100098
def,shuffled,unreduced,Old_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,an assistant was hired .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,20.991687297821045
def,shuffled,unreduced,Old_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,an assistant was hired .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,20.554246425628662
def,shuffled,unreduced,Old_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,an assistant was hired .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,21.930530548095703
def,ordered,unreduced,Old_DefUnambi,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,an assistant was hired .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,21.641688346862793
def,ordered,unreduced,Old_DefUnambi,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,an assistant was hired .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,20.602343559265137
def,ordered,unreduced,Old_DefUnambi,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,an assistant was hired .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,21.91563892364502
def,ordered,unreduced,Old_DefUnambi,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,an assistant was hired .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,19.60871648788452
def,ordered,unreduced,Old_DefUnambi,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,an assistant was hired .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,19.98963975906372
def,shuffled,unreduced,New_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,it was a busy week .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,20.91717767715454
def,shuffled,unreduced,New_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,it was a busy week .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,18.271085739135742
def,shuffled,unreduced,New_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,it was a busy week .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,21.00300168991089
def,shuffled,unreduced,New_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,it was a busy week .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,20.55613374710083
def,shuffled,unreduced,New_DefUnambi,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,it was a busy week .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,21.929945945739746
def,ordered,unreduced,New_DefUnambi,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,it was a busy week .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,21.125046730041504
def,ordered,unreduced,New_DefUnambi,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,it was a busy week .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,20.35933828353882
def,ordered,unreduced,New_DefUnambi,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,it was a busy week .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,21.87606143951416
def,ordered,unreduced,New_DefUnambi,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,it was a busy week .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,19.42641305923462
def,ordered,unreduced,New_DefUnambi,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,it was a busy week .,"in case the executive forgot , the assistant would remind him of his daily meetings and appointments .",would remind,19.54591655731201
def,shuffled,reduced,New_IndefAmbi,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,it was just another day .,although the maid cleaned a house was still in a state of total chaos .,was still,14.614809513092041
def,shuffled,reduced,New_IndefAmbi,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,it was just another day .,although the maid cleaned a house was still in a state of total chaos .,was still,15.117534160614014
def,shuffled,reduced,New_IndefAmbi,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,it was just another day .,although the maid cleaned a house was still in a state of total chaos .,was still,17.58289909362793
def,shuffled,reduced,New_IndefAmbi,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,it was just another day .,although the maid cleaned a house was still in a state of total chaos .,was still,13.739486694335938
def,shuffled,reduced,New_IndefAmbi,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,it was just another day .,although the maid cleaned a house was still in a state of total chaos .,was still,15.472083568572998
def,ordered,reduced,New_IndefAmbi,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,it was just another day .,although the maid cleaned a house was still in a state of total chaos .,was still,13.369264125823975
def,ordered,reduced,New_IndefAmbi,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,it was just another day .,although the maid cleaned a house was still in a state of total chaos .,was still,12.77068281173706
def,ordered,reduced,New_IndefAmbi,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,it was just another day .,although the maid cleaned a house was still in a state of total chaos .,was still,14.436680316925049
def,ordered,reduced,New_IndefAmbi,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,it was just another day .,although the maid cleaned a house was still in a state of total chaos .,was still,14.384696960449219
def,ordered,reduced,New_IndefAmbi,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,it was just another day .,although the maid cleaned a house was still in a state of total chaos .,was still,15.317892074584961
def,shuffled,reduced,Old_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,a house was newly rented .,although the maid cleaned the house was still in a state of total chaos .,was still,15.772867202758789
def,shuffled,reduced,Old_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,a house was newly rented .,although the maid cleaned the house was still in a state of total chaos .,was still,15.048419952392578
def,shuffled,reduced,Old_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,a house was newly rented .,although the maid cleaned the house was still in a state of total chaos .,was still,16.60328245162964
def,shuffled,reduced,Old_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,a house was newly rented .,although the maid cleaned the house was still in a state of total chaos .,was still,15.759732723236084
def,shuffled,reduced,Old_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,a house was newly rented .,although the maid cleaned the house was still in a state of total chaos .,was still,14.58608627319336
def,ordered,reduced,Old_DefAmbi,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,a house was newly rented .,although the maid cleaned the house was still in a state of total chaos .,was still,14.776544094085693
def,ordered,reduced,Old_DefAmbi,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,a house was newly rented .,although the maid cleaned the house was still in a state of total chaos .,was still,12.852999210357666
def,ordered,reduced,Old_DefAmbi,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,a house was newly rented .,although the maid cleaned the house was still in a state of total chaos .,was still,14.340161323547363
def,ordered,reduced,Old_DefAmbi,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,a house was newly rented .,although the maid cleaned the house was still in a state of total chaos .,was still,14.94395112991333
def,ordered,reduced,Old_DefAmbi,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,a house was newly rented .,although the maid cleaned the house was still in a state of total chaos .,was still,13.544345378875732
def,shuffled,reduced,New_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,it was just another day .,although the maid cleaned the house was still in a state of total chaos .,was still,15.760052680969238
def,shuffled,reduced,New_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,it was just another day .,although the maid cleaned the house was still in a state of total chaos .,was still,15.05165433883667
